Swarm ID,Start Time,End Time,Duration,Origin Latitude,Origin Longitude,Centre Latitude,Centre Longitude,Number of Earthquakes,Magnitudes,Time Intervals (h),Distance Intervals (km),Minimum Time Limit (h),Minimum Distance Limit (km),Average Time Interval (h),Average Distance Interval (km)
0,2000-01-28 15:26:35.580000+00:00,2000-01-28 16:56:17.670000+00:00,0 days 01:29:42.090000,1.996,-30.651,1.978,-30.665,2,"[4.8, 4.4]",[1.495025],[5.054700549417077],1.495025,5.054700549417077,1.495025,5.054700549417077
1,2000-02-09 18:28:53.390000+00:00,2000-02-09 21:30:21.190000+00:00,0 days 03:01:27.800000,0.0,-16.351,0.01,-16.317,2,"[4.7, 4.7]",[3.024388888888889],[7.886152935275634],3.024388888888889,7.886152935275634,3.024388888888889,7.886152935275634
2,2000-02-25 21:17:04.600000+00:00,2000-02-25 21:34:36.450000+00:00,0 days 00:17:31.850000,8.89,-39.943,8.8335,-39.8565,2,"[4.3, 4.2]",[0.29218055555555555],[22.768143647723036],0.29218055555555555,22.768143647723036,0.29218055555555555,22.768143647723036
3,2000-04-29 15:01:38.650000+00:00,2000-04-29 15:20:06.670000+00:00,0 days 00:18:28.020000,-1.257,-15.936,-1.218,-15.903500000000001,3,"[4.8, 5.3, 5.4]","[0.25876944444444444, 0.049013888888888885]","[2.27567364282334, 12.573087232304031]",0.25876944444444444,12.573087232304031,0.15389166666666665,7.424380437563686
4,2000-07-08 02:19:55.910000+00:00,2000-07-08 09:28:50.380000+00:00,0 days 07:08:54.470000,0.079,-16.308,-0.006999999999999999,-16.372500000000002,2,"[4.8, 4.7]",[7.148463888888889],[23.831269858354556],7.148463888888889,23.831269858354556,7.148463888888889,23.831269858354556
5,2000-07-14 05:22:01.750000+00:00,2000-07-14 05:42:25.140000+00:00,0 days 00:20:23.390000,-0.914,-16.144,-0.8595,-16.1205,2,"[5.4, 4.7]",[0.3398305555555556],[13.139010418971768],0.3398305555555556,13.139010418971768,0.3398305555555556,13.139010418971768
6,2000-07-20 15:23:16.330000+00:00,2000-07-20 16:55:18.110000+00:00,0 days 01:32:01.780000,-1.643,-12.798,-1.5645,-12.927,3,"[4.7, 4.6, 4.5]","[1.473475, 0.06035277777777778]","[9.453414185767892, 24.831253976781912]",1.473475,24.831253976781912,0.7669138888888889,17.142334081274903
7,2000-09-23 02:13:32.450000+00:00,2000-09-23 02:17:43.980000+00:00,0 days 00:04:11.530000,4.367,-32.593,4.3215,-32.6,2,"[5.5, 5.7]",[0.06986944444444444],[10.182128615628029],0.06986944444444444,10.182128615628029,0.06986944444444444,10.182128615628029
8,2001-04-01 14:51:46.190000+00:00,2001-04-01 15:28:57.550000+00:00,0 days 00:37:11.360000,4.344,-32.529,4.3685,-32.48950000000001,2,"[4.8, 4.6]",[0.6198222222222223],[10.307888866352314],0.6198222222222223,10.307888866352314,0.6198222222222223,10.307888866352314
9,2001-06-12 14:14:40.180000+00:00,2001-06-12 14:51:39.890000+00:00,0 days 00:36:59.710000,14.61,-44.98,14.5735,-45.036500000000004,5,"[4.9, 4.8, 5.4, 4.9, 4.7]","[0.06767777777777777, 0.058916666666666666, 0.05539444444444444, 0.4345972222222222]","[7.668802519220304, 6.492632266048723, 4.987550012735544, 2.2328610220512393]",0.4345972222222222,7.668802519220304,0.15414652777777776,5.345461455013952
